seed,condition,seq_length,noise_rate,seq_id,queried_key,target_value,predicted_value,correct,distractor_leakage_events,mutex_violation_ticks,mean_firing_density
135170,active_associative,64,0.00,33,15,0,0,1,0,0,0.026495
139266,active_associative,64,0.00,34,15,0,0,1,0,0,0.034018
143362,active_associative,64,0.00,35,4,1,1,1,0,0,0.029154
147458,active_associative,64,0.00,36,7,1,1,1,0,0,0.035093
151554,active_associative,64,0.00,37,2,0,0,1,0,0,0.035375
155650,active_associative,64,0.00,38,3,0,0,1,0,0,0.027570
159746,active_associative,64,0.00,39,5,0,0,1,0,0,0.031699
163842,active_associative,64,0.00,40,13,0,0,1,0,0,0.032660
167938,active_associative,64,0.00,41,14,0,0,1,0,0,0.026722
172034,active_associative,64,0.00,42,2,0,0,1,0,0,0.027740
176130,active_associative,64,0.00,43,14,1,1,1,0,0,0.034131
180226,active_associative,64,0.00,44,11,0,0,1,0,0,0.028136
184322,active_associative,64,0.00,45,14,1,1,1,0,0,0.029776
188418,active_associative,64,0.00,46,9,1,1,1,0,0,0.030511
192514,active_associative,64,0.00,47,2,1,1,1,0,0,0.034301
196610,active_associative,64,0.00,48,8,0,0,1,0,0,0.029493
200706,active_associative,64,0.00,49,5,0,0,1,0,0,0.033113
204802,active_associative,64,0.00,50,1,0,0,1,0,0,0.018973
4099,active_associative,64,0.00,1,8,1,1,1,0,0,0.029323
8195,active_associative,64,0.00,2,8,1,1,1,0,0,0.033622
12291,active_associative,64,0.00,3,8,1,1,1,0,0,0.024742
16387,active_associative,64,0.00,4,0,0,0,1,0,0,0.024572
20483,active_associative,64,0.00,5,5,0,0,1,0,0,0.024403
24579,active_associative,64,0.00,6,11,1,1,1,0,0,0.031756
28675,active_associative,64,0.00,7,13,1,1,1,0,0,0.033905
32771,active_associative,64,0.00,8,2,0,0,1,0,0,0.023724
36867,active_associative,64,0.00,9,10,1,1,1,0,0,0.031416
40963,active_associative,64,0.00,10,0,1,1,1,0,0,0.041088
45059,active_associative,64,0.00,11,4,0,0,1,0,0,0.028701
49155,active_associative,64,0.00,12,15,0,0,1,0,0,0.030285
53251,active_associative,64,0.00,13,3,1,1,1,0,0,0.025590
57347,active_associative,64,0.00,14,9,1,1,1,0,0,0.030398
61443,active_associative,64,0.00,15,4,0,0,1,0,0,0.031416
65539,active_associative,64,0.00,16,6,0,0,1,0,0,0.032887
69635,active_associative,64,0.00,17,2,1,1,1,0,0,0.027061
73731,active_associative,64,0.00,18,4,0,0,1,0,0,0.035602
77827,active_associative,64,0.00,19,7,1,1,1,0,0,0.026213
81923,active_associative,64,0.00,20,9,0,0,1,0,0,0.030737
86019,active_associative,64,0.00,21,11,0,0,1,0,0,0.030568
90115,active_associative,64,0.00,22,5,1,1,1,0,0,0.030059
94211,active_associative,64,0.00,23,1,0,0,1,0,0,0.029719
98307,active_associative,64,0.00,24,0,1,1,1,0,0,0.026156
102403,active_associative,64,0.00,25,5,1,1,1,0,0,0.024912
106499,active_associative,64,0.00,26,4,1,1,1,0,0,0.036280
110595,active_associative,64,0.00,27,15,1,1,1,0,0,0.020104
114691,active_associative,64,0.00,28,0,0,0,1,0,0,0.034414
118787,active_associative,64,0.00,29,5,1,1,1,0,0,0.026213
122883,active_associative,64,0.00,30,8,0,0,1,0,0,0.025308
126979,active_associative,64,0.00,31,4,1,1,1,0,0,0.033226
131075,active_associative,64,0.00,32,13,1,1,1,0,0,0.028079
135171,active_associative,64,0.00,33,10,1,1,1,0,0,0.037185
139267,active_associative,64,0.00,34,6,0,0,1,0,0,0.033792
143363,active_associative,64,0.00,35,11,0,0,1,0,0,0.028475
147459,active_associative,64,0.00,36,12,0,0,1,0,0,0.031529
151555,active_associative,64,0.00,37,14,0,0,1,0,0,0.032378
155651,active_associative,64,0.00,38,3,1,1,1,0,0,0.028588
159747,active_associative,64,0.00,39,0,0,0,1,0,0,0.030964
163843,active_associative,64,0.00,40,10,0,0,1,0,0,0.029437
167939,active_associative,64,0.00,41,6,1,1,1,0,0,0.027004
172035,active_associative,64,0.00,42,10,0,0,1,0,0,0.033396
176131,active_associative,64,0.00,43,4,1,1,1,0,0,0.031699
180227,active_associative,64,0.00,44,4,0,0,1,0,0,0.030568
184323,active_associative,64,0.00,45,5,1,1,1,0,0,0.033848
188419,active_associative,64,0.00,46,9,0,0,1,0,0,0.027174
192515,active_associative,64,0.00,47,7,0,0,1,0,0,0.025364
196611,active_associative,64,0.00,48,0,1,1,1,0,0,0.025817
200707,active_associative,64,0.00,49,4,1,1,1,0,0,0.026891
204803,active_associative,64,0.00,50,15,0,0,1,0,0,0.024855
4100,active_associative,64,0.00,1,13,0,0,1,0,0,0.031020
8196,active_associative,64,0.00,2,9,1,1,1,0,0,0.029041
12292,active_associative,64,0.00,3,8,1,1,1,0,0,0.028136
16388,active_associative,64,0.00,4,13,0,0,1,0,0,0.029776
20484,active_associative,64,0.00,5,14,1,1,1,0,0,0.029719
24580,active_associative,64,0.00,6,1,0,0,1,0,0,0.030624
28676,active_associative,64,0.00,7,15,1,1,1,0,0,0.029437
32772,active_associative,64,0.00,8,14,0,0,1,0,0,0.028871
36868,active_associative,64,0.00,9,5,1,1,1,0,0,0.030228
40964,active_associative,64,0.00,10,5,0,0,1,0,0,0.035432
45060,active_associative,64,0.00,11,8,0,0,1,0,0,0.034018
49156,active_associative,64,0.00,12,9,1,1,1,0,0,0.035602
53252,active_associative,64,0.00,13,1,0,0,1,0,0,0.025647
57348,active_associative,64,0.00,14,2,1,1,1,0,0,0.027796
61444,active_associative,64,0.00,15,8,1,1,1,0,0,0.034188
65540,active_associative,64,0.00,16,15,0,0,1,0,0,0.030172
69636,active_associative,64,0.00,17,9,0,0,1,0,0,0.028984
73732,active_associative,64,0.00,18,6,1,1,1,0,0,0.027740
77828,active_associative,64,0.00,19,10,0,0,1,0,0,0.028136
81924,active_associative,64,0.00,20,12,1,1,1,0,0,0.032378
86020,active_associative,64,0.00,21,10,1,1,1,0,0,0.028588
90116,active_associative,64,0.00,22,9,1,1,1,0,0,0.032774
